name,id,bin_center,bin_min,bin_max,bin_width,bin_magnitude,count,mass_raw,mass_raw_error,selection_function,selection_function_error,binary_correction,binary_correction_error,mass_corrected,mass_corrected_error,break_mass,break_mass_err,n_bins_before_break,n_bins_after_break,low_slope,high_slope,distance_16,distance_50,distance_84,cst,class_50,a_v_50,distance_50.1,kind,age_16,age,age_84,age_err_low,age_err_high
CWNU_1015,566,0.1113311677577652,0.0899999999999999,0.1377180990478631,0.0477180990478631,19.32183451401865,7,146.6948629487256,55.44544656757589,0.8313744613191711,0.0913824048225542,78.85896703943635,44.23158296953657,255.3075708562528,82.34269325153235,0.4628136665722437,0.0859499095280623,4,4,-0.4323161586923118,-2.561127993035288,171.939729766351,172.041117913878,172.142625703579,15.7195489321861,0.981902211904526,0.160584032535553,172.041117913878,m,7.26869869232178,7.53351974487305,7.80142784118652,0.2648210525512704,0.26790809631346946
OCSN_82,5110,0.1971914339375412,0.1700767995019502,0.2286288413952534,0.0585520418933032,19.49828216750481,15,256.18235530255,66.14599971193117,0.6085879963513198,0.1494086475336129,102.17755366102752,43.64157493196653,523.123015678756,156.19611554220228,0.5197001162035074,0.067784264505134,4,7,-0.3902829821093854,-2.7063460818729905,409.676525543002,410.016331584472,410.356701797883,17.5815827753196,0.956203907728195,0.159758538007736,410.016331584472,m,7.098313331604,7.37220859527588,7.59361171722412,0.27389526367187944,0.2214031219482404
Theia_58,5495,0.1842134481175647,0.1636482076207621,0.2073630683814309,0.0437148607606688,19.969250804398804,8,183.0041285913864,64.70173015605214,0.2349190447088317,0.1528344773894138,180.960494590546,62.66800618399224,959.9698287133252,580.2079825547854,0.5028520305481803,0.0677295736225678,5,7,-0.6374082655287,-2.327341206880762,483.878837891426,484.250464885899,484.62266315054,21.5009733790519,0.994087517261505,0.15114039182663,484.250464885899,o,7.10951662063599,7.3728518486023,7.64742946624756,0.26333522796631037,0.2745776176452601
Blanco_1,281,0.1339462343118164,0.1238862082573257,0.1448231723183367,0.0209369640610109,20.52103327580578,16,764.1986657366127,191.0496664341532,0.1456397269178528,0.1725695270130892,669.8881312468718,195.2991876705202,5917.073647927044,6357.306500805635,0.55456749198907,0.0438269266303151,10,11,-1.2268618469360726,-3.1337321641987987,234.295843568103,234.390495058699,234.48522305535,99.0,0.995965927839279,0.0568353086709976,234.390495058699,o,7.943,7.975,7.997999999999999,0.03200000000000003,0.022999999999999687
UPK_612,7132,0.1559816036463823,0.1334813487788778,0.1822746091396039,0.048793260360726,19.85174475133252,2,40.98926747698559,28.98378898884572,0.4898058089300736,0.071404259012446,161.61749984647057,56.427558695484535,245.30223108010392,82.67083707757381,0.4165604050265779,0.0314874326022283,4,7,0.3109862645839713,-2.5390534257565616,226.604531611698,226.696573607302,226.788690404335,23.4995734059315,0.998150110244751,0.100873783230782,226.696573607302,m,,8.0,,0.019999999999999574,0.019000000000000128
NGC_4349,4635,0.6758179895955831,0.6399512778567856,0.7136948871961267,0.0737436093393411,19.592229183383665,14,189.84695928805337,50.7387341126226,0.1277124619492586,0.1612735923404437,273.44928998370983,57.81061847565044,1759.9679616187566,1919.6080051009424,1.0454237333526957,0.1076120994911531,4,11,-0.0431597459087979,-2.75438535552456,1786.05561012886,1788.91971258083,1791.7930154836,99.0,0.999587684869766,0.859595149755478,1788.91971258083,o,8.404,8.451,8.493,0.0470000000000006,0.041999999999999815
Platais_8,5197,0.1050192802011267,0.0899999999999999,0.122544991266253,0.032544991266253,18.87070279395193,11,337.99363809958254,101.90891628213517,0.8310150061694406,0.0882324870393076,171.28055984776142,77.03162323006393,578.0044283583464,151.1200566574979,0.5353579604140827,0.0609674632623764,6,5,-0.460950483134459,-2.9663753635689414,133.569025212507,133.594264980942,133.619514290008,23.378973837255,0.999239474534988,0.178490087389946,133.594264980942,o,,7.48,,0.019999999999999574,0.019000000000000128
Alessi-Teutsch_3,111,0.3618099740429915,0.3230450703610361,0.405226605596206,0.0821815352351699,20.125285329761983,4,48.6727339487348,24.3363669743674,0.1832017464257692,0.155451476133743,60.38713158763956,28.270491603440096,326.0654610704664,263.1851258609982,0.7280035393560568,0.0520800491641474,4,8,0.6087358275791495,-3.1074444156767105,686.211274945006,686.999903124112,687.790346050389,17.1199135297901,0.997708320617676,0.511263370513916,686.999903124112,o,7.959,7.986000000000001,8.021,0.027000000000001023,0.03500000000000014
LISC-III_3668,4379,0.1979820358780309,0.1740210743874387,0.2252421821229674,0.0512211077355286,20.300590775395097,13,253.80161762848337,70.39190355040013,0.1433128772222637,0.1617148380423532,207.6431915652811,71.13103334189434,1978.6048982014736,2059.0673529638875,0.8999476590974023,0.0633562120371593,6,9,-0.6639839057688145,-3.1970416445745635,573.232485944576,573.621127226251,574.010295849005,25.9858509970407,0.908234357833862,0.164984583854675,573.621127226251,m,7.21959161758423,7.45821142196655,7.68595123291016,0.23861980438231978,0.22773981094360973
NGC_2506,4583,0.648757461677054,0.6316905262186219,0.6662855094584551,0.0345949832398332,20.39379725278276,12,346.8711031541418,100.1330623900731,0.0086826976596766,0.0718232592107883,716.2888280133028,124.23361800107668,40665.98150993719,330664.9766943186,1.4375730841876095,0.0335164222881058,15,3,-3.244935122201308,2.607986419463291,3128.95432268414,3140.3708735731,3151.87104021511,99.0,0.998544782400131,0.032348245382309,3140.3708735731,o,,9.22,,0.019999999999999574,0.019000000000000128
