name,id,bin_center,bin_min,bin_max,bin_width,bin_magnitude,count,mass_raw,mass_raw_error,selection_function,selection_function_error,binary_correction,binary_correction_error,mass_corrected,mass_corrected_error,break_mass,break_mass_err,age_16,age,age_84,age_error
NGC_2571,4593,0.444930219,0.403032424,0.491183557,0.088151133,19.87784534,9,102.0973829,34.03246096,0.087683938,0.13301984,76.60671933,29.95931746,1240.986258,1808.79402,0.660844935,0.151598007,,7.43,,
NGC_2571,4593,0.542245226,0.491183557,0.598615081,0.107431523,19.37797048,12,111.6990586,32.24474078,0.280839874,0.153087318,72.56459034,27.57408281,470.2967817,246.8759261,0.660844935,0.151598007,,7.43,,
NGC_2571,4593,0.660844942,0.598615081,0.729543995,0.130928914,18.84592917,44,336.0602221,50.66298471,0.470052448,0.161676308,63.4784451,22.60647387,778.4204123,269.4404561,0.660844935,0.151598007,,7.43,,
NGC_2571,4593,0.805384753,0.729543995,0.889109643,0.159565648,17.50029737,35,219.3454573,37.0761493,0.772611512,0.109533899,48.84102107,16.93176932,332.7423791,64.88082569,0.660844935,0.151598007,,7.43,,
NGC_2571,4593,0.981538269,0.889109643,1.083575442,0.194465799,16.59081621,26,133.6996021,26.22064923,0.828623614,0.092526228,36.22812167,13.43599608,197.5795481,38.81306071,0.660844935,0.151598007,,7.43,,
NGC_2571,4593,1.196220031,1.083575442,1.320574744,0.236999302,15.12822655,49,206.751664,29.53595199,0.882364043,0.084178751,28.81434068,10.8420097,263.1299451,41.68618146,0.660844935,0.151598007,,7.43,,
NGC_2571,4593,1.457856924,1.320574744,1.609410463,0.288835719,14.0464653,17,58.85698639,14.27491598,0.874801518,0.092665041,12.56580623,6.821187081,79.84619518,19.06812834,0.660844935,0.151598007,,7.43,,
NGC_2571,4593,1.776718961,1.609410463,1.961420246,0.352009783,13.07710269,13,36.9307918,10.24275873,0.891494886,0.079779061,8.03664773,5.161341938,49.46233885,13.12970491,0.660844935,0.151598007,,7.43,,
NGC_2571,4593,2.165322409,1.961420246,2.390421505,0.429001259,12.35155107,10,23.3099549,7.371254965,0.880857062,0.085947674,4.434981919,3.470106995,30.897794,9.420014227,0.660844935,0.151598007,,7.43,,
NGC_2571,4593,2.638921089,2.390421505,2.913253793,0.522832288,11.80066946,11,21.0392515,6.343573008,0.864492012,0.095136443,2.825829072,2.352764256,27.16295562,8.158046623,0.660844935,0.151598007,,7.43,,
NGC_2571,4593,3.216105133,2.913253793,3.550439805,0.637186012,11.25505867,6,9.416402565,3.84423025,0.831943961,0.101886126,1.025142797,1.345335287,12.3436967,5.008289553,0.660844935,0.151598007,,7.43,,
NGC_2571,4593,3.919530702,3.550439805,4.326990954,0.776551149,10.7380622,2,2.575490361,1.821146699,0.870884633,0.102068963,0.412934915,0.747118451,3.370261596,2.247489755,0.660844935,0.151598007,,7.43,,
NGC_2571,4593,4.776809303,4.326990954,5.273389143,0.946398188,10.22265721,1,1.056637695,1.056637695,0.837667791,0.105371424,0.145570039,0.398928497,1.406974268,1.332464619,0.660844935,0.151598007,,7.43,,
NGC_2571,4593,5.821591628,5.273389143,6.426783264,1.153394121,9.701955199,0,0,0,0.840991631,0.105548114,0.047366141,0.197036019,0.047366141,180879402,0.660844935,0.151598007,,7.43,,
NGC_2571,4593,7.094888436,6.426783264,7.832447408,1.405664144,9.067365394,2,1.422814979,1.00608212,0.844335131,0.105676466,0.065902357,0.228379998,1.751032972,1.231451587,0.660844935,0.151598007,,7.43,,
Theia_58,5495,0.194208432,0.163648208,0.230475577,0.066827369,19.84618346,3,44.89178671,25.91828514,0.322461048,0.146566328,42.58734166,26.26279938,181.8034948,105.6129975,0.424830127,0.080194355,7.109516621,7.372851849,7.647429466,
