cluster_id,cst,class_50,kind,a_v_50,distance_50,cluster_name,normal,age_50,age_16,age_84,num_stars,normal_err,m_break,m_break_err,low_slope,low_slope_err,high_slope,high_slope_err,chi_squared,reduced_chi_squared,n_bins_before_break,n_bins_after_break,logAge,e_logAge_upper,e_logAge_lower
5197,23.37897384,0.999239475,o,0.178490087,133.594265,Platais_8,257.95816996505096,7.494345188,7.218500137,7.828241825,225,95.24616253298068,0.2676252332967783,0.0923172155785983,-0.0553746347809266,0.8506749147144845,-1.8806389794413667,0.5023639137158447,0.5517409826641244,0.1379352456660311,3,5,7.567,0.046,0.046
132,27.44590458,0.998673677,o,0.11152406,427.4531513,BH_23,382.8476167453874,6.973596096,6.730814457,7.153571606,300,216.53268055299228,0.2816125677719959,0.0892899470600209,-0.1890027323104539,1.5230856039322416,-2.1863068898042286,0.333820292530158,6.271228409711096,0.6968031566345663,3,10,7.391,0.053,0.053
5605,31.61980059,0.99915728,o,0.064561725,295.869997,Theia_517,922.9586461544874,8.102348804,7.823602676,8.346331596,511,449.79796243809153,0.3385318269047493,0.089613538790856,0.6560897161327225,2.0491172369631507,-2.1201148625740407,0.2080986405712503,2.546143841137692,0.2546143841137692,3,11,8.102348804,0.24398279200000061,0.27874612799999987
4299,24.05401264,0.986871272,o,0.55891946,343.3451514,IC_4665,815.1354382884134,7.514507771,7.262871742,7.723068714,308,231.06160781161813,0.3570605629421589,0.0525367778354588,0.3005248089732548,0.8775490456821204,-2.2301784035182872,0.1855429558031192,3.231280191362556,0.2937527446693233,4,11,7.728,0.081,0.081
64,23.63704139,0.994124562,o,0.294033766,374.1934418,ASCC_127,240.0536186963533,7.085119486,6.847806454,7.28382206,247,103.36166676524762,0.3583577467063178,0.1081408052858887,-0.3766331318656146,0.699029606563905,-2.127792563171156,0.4130766977646882,6.167521086531771,0.8810744409331102,4,7,7.496,0.131,0.131
4872,31.70335066,0.992167264,o,0.043677986,190.0831818,NGC_2451A,858.7868583524554,7.416002274,7.119625568,7.688241959,407,207.7494307951835,0.3687590836312157,0.0503859384957818,-0.1338026754925549,0.320746098272876,-2.418865563272986,0.2074379074447509,5.048665592666815,0.4589695993333468,5,10,7.737,0.047,0.047
1755,29.52051916,0.989914149,o,0.207788989,491.7671176,Gulliver_9,760.8192669363859,7.005716562,6.756231308,7.18828392,444,193.23661645545,0.3725046687334112,0.0563321152221138,-0.2047777626965199,0.6350001323573109,-2.4118070222869474,0.2511760816693322,4.067078817354537,0.3128522167195798,5,12,7.326,0.031,0.031
7156,23.27090623,0.989206553,o,0.18000412,283.655598,ZHBJZ_1,748.2371493503936,7.130200386,6.820354939,7.349176407,490,153.91370066472365,0.3783473545985125,0.0464901270130175,-0.0983761980481575,0.3264073549250178,-2.475886502596698,0.2394452746999456,5.907182756763066,0.6563536396403407,5,8,7.130200386,0.21897602099999958,0.3098454470000007
86,18.34721617,0.998484462,o,0.143248752,275.3092011,Alessi_36,447.2528936757375,7.460958004,7.165091991,7.783838272,198,117.28792795469612,0.3791839624429651,0.075375119349726,0.0069773052025731,0.5174401066113338,-2.111086598620425,0.4112544560852875,1.4874464958571596,0.2124923565510228,5,6,7.460958004,0.3228802679999996,0.29586601300000037
4873,28.61356366,0.974244922,o,0.181459948,367.5350513,NGC_2451B,1055.0017320200811,7.440184832,7.226033211,7.672418118,615,284.25417769267096,0.3895746245277908,0.0494852702391827,-0.1799947667458731,0.5050742589437937,-2.5239162079364954,0.1751435900344418,10.585321334492958,0.8142554872686891,4,13,7.659,0.064,0.064
7143,22.70173807,0.994458079,o,0.243651792,173.8625798,UPK_640,1389.7555003038651,6.983164072,6.720327377,7.159949303,764,294.8834178576204,0.4024664584815779,0.0394378292703322,-0.4924253489523836,0.2300606320330953,-2.7353178005605163,0.1836619634531295,5.6031766737467885,0.3501985421091743,7,13,7.379,0.091,0.091
4191,24.28413659,0.99598515,m,0.167702645,148.0459449,HSC_2986,160.32135399597405,6.85317564,6.644990921,7.040894508,222,69.55326051551548,0.4039259569167748,0.0999950645322817,-0.1532388501096996,0.5680521292895045,-3.12212778869901,0.933575900210877,2.1717067851406675,0.4343413570281335,4,5,6.85317564,0.18771886800000015,0.20818471900000013
4423,99.0,0.995689571,o,0.102094501,134.8413431,Melotte_22,3549.9301923124644,8.084972382,7.74429512,8.293535233,1721,447.49642143053455,0.4073122447020844,0.0256500985079103,-0.2693146561261302,0.1681474847576644,-2.6598466564102377,0.1107323307761595,18.19858418456646,0.8272083720257482,10,16,8.116,0.108,0.108
5495,21.50097338,0.994087517,o,0.151140392,484.2504649,Theia_58,189.92433827867237,7.372851849,7.109516621,7.647429466,288,92.99461113065108,0.4219171577509227,0.1290969471993938,-0.1767358654264772,1.1934659693947716,-2.294454490559479,0.5566755733204736,0.999197797699804,0.249799449424951,3,5,7.372851849,0.2745776170000003,0.26333522799999987
4524,25.95215903,0.997736365,o,0.134927049,318.0361077,NGC_2232,518.3365468515924,7.123059273,6.882543087,7.352166653,286,117.852475324132,0.427239190222919,0.0673274987943137,-0.1755706469845982,0.3840811176613675,-2.341237530630433,0.2965125741187019,6.05765939009059,0.6730732655656211,5,8,7.486,0.041,0.041
4838,17.35886964,0.990705252,o,0.263314083,742.5951894,NGC_7039,526.6075080738817,6.824951172,6.653155327,7.014259338,170,243.5738178047726,0.427758513875669,0.0805550894738831,0.5777177175763379,1.7722248413142792,-2.7563231246104163,0.401013955622262,9.12158546883342,0.9121585468833422,3,11,7.213,0.142,0.142
5020,23.66023194,0.977953166,o,0.264377087,389.1796127,OC_0470,798.0728776235633,6.845579386,6.642217636,7.040346146,415,200.63824990895128,0.429122273166519,0.0450209330146113,0.1765524696558935,0.4271918207997115,-2.9348915445707817,0.2806968687371727,7.073425974730758,0.4160838808665151,6,15,6.845579386,0.19476676000000026,0.20336175
1324,18.97655244,0.993827283,o,0.095127657,376.2087092,Collinder_140,340.5316428813895,7.23683548,6.978178978,7.475440979,203,135.05024106849737,0.4366378323571052,0.0919425073092399,-0.0770371135294348,0.6904066237868912,-2.25954587802663,0.2355212021554877,2.537861585224872,0.3625516550321245,3,8,7.6,0.037,0.037
4293,29.97568575,0.999614418,o,0.114341736,150.5514196,IC_2602,754.7539883709923,7.414541721,7.179764748,7.677102566,638,162.3904912343241,0.4367744740249209,0.0587468019928114,-0.4425613406047251,0.2186443496436746,-2.455438500682075,0.2143429631207275,7.575895657854128,0.6887177870776481,6,9,7.672,0.023,0.023
576,27.87473667,0.820420206,o,0.149199635,361.6110811,CWNU_1044,261.31231696976755,7.534675598,7.24132061,7.796350002,377,98.75575336366298,0.4375589369541515,0.079758649012963,0.6158273636616963,0.9171363266218728,-2.565762336145543,0.3996330085423825,0.87307473409525,0.1247249620136071,4,7,7.534675598,0.26167440399999986,0.2933549879999999
5199,19.56579928,0.998408377,o,0.280244544,238.720662,Platais_10,128.00247079488236,8.094939709,7.821927547,8.344636917,197,52.111895073143,0.4381567658156378,0.125610918936542,0.3955392779524109,1.2026123386986465,-1.963416815680162,0.526377194342948,1.4324130480311947,0.2387355080051991,4,6,8.314,0.26,0.26
4289,26.06305626,0.997392505,o,0.090997472,150.1906601,IC_2391,445.5798747307183,7.436626196,7.159081936,7.677269459,376,134.54604585300294,0.4407426069842283,0.0948517435004023,-0.6473784953260288,0.2413682224954872,-2.2448374181456345,0.2582385081360723,7.717077259171649,0.9646346573964562,5,7,7.688,0.042,0.042
5201,22.86550985,0.994903386,o,0.354742661,346.8844589,Pozzo_1,911.2244045107204,6.971465111,6.698472977,7.148552418,365,160.68459942715415,0.4452900082874921,0.0387259184643224,0.585642488814083,0.3524198924806663,-2.78171859447724,0.2502070048229924,8.807660120610812,0.4403830060305406,8,16,7.086,0.087,0.087
4290,99.0,0.978178024,o,0.305173248,695.6977283,IC_2395,1617.286028708524,6.832616568,6.628157139,6.994478226,745,396.4547559330761,0.4482841186319985,0.0495533156219102,-0.207033883751052,0.5883291875098645,-2.6025488902340226,0.1553449331768699,17.2758865837467,0.7198286076561126,6,22,7.149,0.032,0.032
4422,99.0,0.997192442,o,0.242330834,173.5811454,Melotte_20,1267.7090844085117,7.745104551,7.477336884,7.971729279,938,236.5571033552245,0.4550485638121989,0.050368604391124,-0.3446147226794279,0.1971542559938029,-2.342864116152516,0.1522859059723832,4.624430870599909,0.3303164907571363,7,11,7.921,0.047,0.047
281,99.0,0.995965928,o,0.056835309,234.3904951,Blanco_1,1241.7012439493155,8.239131451,7.9511199,8.569187164,841,326.0940760837402,0.4574253264887689,0.055605620591161,-0.941663234174054,0.313194155542629,-2.91874019606976,0.2286756977143657,10.787429882598502,0.6742143676624064,8,12,8.012,0.09,0.09
5481,17.40952072,0.942322552,o,0.298634797,408.8463162,Theia_13,591.1488175735797,6.808747292,6.610023975,6.980823994,249,126.93928069466352,0.4724087537171763,0.054227601188668,0.2187026301671102,0.4738501528702505,-2.662388240823586,0.3001930129861909,1.365845373681002,0.1050650287446924,5,12,6.808747292,0.17207670200000003,0.1987233169999998
290,18.03376997,0.998901784,o,0.177356258,342.0987162,Briceno_1,403.8646930480285,6.913410664,6.638452053,7.053053379,171,110.8726475405838,0.4779045800547408,0.0663455562090337,0.4400658546635276,0.6814258402998812,-2.70034255724611,0.3727635682851913,5.070422720898291,0.5070422720898291,5,9,6.913410664,0.13964271499999992,0.27495861099999974
4590,32.3944084,0.997991145,o,0.119976878,382.3826122,NGC_2547,901.7265023975182,7.336620569,7.09608078,7.614598274,675,198.4091639549539,0.4826560310501174,0.0607003238159265,-0.4695752610975295,0.2919956429021229,-2.386367713030689,0.1829950176019905,10.146824066623733,0.8455686722186444,6,10,7.592,0.024,0.024
85,26.46343481,0.98815611,o,0.555046409,485.5054368,Alessi_34,651.7382904959738,7.314842224,7.075325489,7.510607719,857,198.7743082086606,0.4926628630725118,0.0788110640304966,-0.6519691577272003,0.473817173262983,-2.6519400981230907,0.2599953504858414,11.564107763612093,0.8260076974008638,6,12,7.314842224,0.19576549499999985,0.23951673500000048
3908,20.2275211,0.999574423,o,0.303420246,133.8787197,HSC_2636,170.7120639456736,6.993011236,6.746082306,7.218502522,284,60.73352758479144,0.4949332345237124,0.1110970263050891,-0.4117150106602724,0.3776266883211438,-3.7169680207019993,1.3358151923272734,2.691148047010592,0.5382296094021184,5,4,6.993011236,0.22549128599999957,0.24692893000000016
79,24.19854471,0.954734802,o,0.647009373,424.3059897,Alessi_20,480.4462078270165,6.825615168,6.593387604,6.951789379,252,145.33724025915043,0.4951980875966424,0.0684892480232154,-0.0808535189003897,0.4965390080919912,-2.6942214222740133,0.2670843242193834,2.618679368515206,0.2182232807096005,5,11,6.991,0.116,0.116
4598,99.0,0.996670902,o,0.15869616,183.4910924,NGC_2632,2107.6310313294853,8.539385796,8.304765701,8.793434143,1314,407.1118369172602,0.5074430133463737,0.0461699478558912,-0.5810657754331164,0.2327704057456514,-2.6722785135345712,0.1601667230181502,9.634745705133705,0.642316380342247,8,11,8.882,0.035,0.035
150,32.42183184,0.994290292,o,0.112116218,440.2142016,BH_99,1351.1448342804294,7.651223898,7.410183907,7.942173481,643,322.54722928870336,0.517835519972394,0.0571317148869318,-0.7511145308036677,0.4578912754580524,-2.8424969076623228,0.1882127380067718,5.928704928161107,0.3293724960089503,7,15,7.795,0.072,0.072
5359,21.08613637,0.99496904,o,0.173754185,354.6813003,Stephenson_1,399.48212760955687,7.425392866,7.163497448,7.699929237,322,133.95834732560536,0.519031151316772,0.0925620946455823,-0.7382593673035867,0.3496120169658985,-2.549696453311377,0.2413050250748119,8.029244346131692,0.7299313041937903,5,10,7.632,0.047,0.047
7094,15.58186959,0.885538042,o,0.616775632,661.5929139,UPK_445,179.33352220127458,6.86643219,6.675658226,7.053340435,123,119.74317752053835,0.527477408271169,0.1330051968149659,0.1125741117399435,2.1176668797324223,-3.1621815999215754,0.8348362537905237,6.135934798831913,0.681770533203546,3,10,7.226,0.07,0.07
1312,99.0,0.873098731,o,0.416201741,393.7751313,Collinder_69,1121.5033638597597,6.71929884,6.532010078,6.846721649,1247,141.78154139717157,0.5299298032454329,0.0441259355312549,-0.2333635940748781,0.1475011835339254,-2.8247558057816,0.2264389227227612,25.191789217885244,1.2595894608942622,9,15,6.946,0.048,0.048
1745,25.8605962,0.977279991,o,0.152334616,364.9840988,LP_2383,615.3299479236817,7.578148127,7.262598038,7.896157265,422,132.493609140386,0.5386070652147524,0.0536664146259516,-0.3937667792095325,0.3265596006756898,-3.5071358661649823,0.467342041092625,7.682973466495545,0.6402477888746287,8,8,7.578148127,0.31800913799999986,0.31555008900000026
5489,99.0,0.863290846,o,0.771996737,498.882266,Theia_38,768.4686150839997,6.761762857,6.547386646,6.866619587,1108,257.4289243089865,0.54344456802219,0.07730847015297,-0.4720350252938819,0.4715009993899822,-2.842230461015756,0.2544738351994405,12.657917021503582,0.7032176123057545,7,15,6.761762857,0.10485672999999984,0.21437621100000026
5109,20.7552012,0.989763647,o,0.127747834,531.0353182,OCSN_77,310.06178356131744,8.119074345,7.852045536,8.39881134,236,91.79103155207044,0.5441737761031731,0.1094586981269724,-0.0573433287026012,1.0165999006356568,-2.2841024456319494,0.3949385878155544,2.1742736454162315,0.4348547290832463,3,6,8.119074345,0.2797369950000004,0.26702880899999926
4716,37.4178734,0.998707354,o,0.366255671,520.7623268,NGC_6281,2899.231477747901,8.43772459,8.221617699,8.690324783,756,650.9000323981705,0.5506294408954525,0.0464808280192736,1.1029457194919223,2.912377389435337,-2.900989657471757,0.1792020640904708,7.937941649673397,0.6106108961287229,4,13,8.516,0.086,0.086
4465,99.0,0.997925788,o,0.143492728,489.7317695,NGC_1039,2229.7337273963126,8.087333679,7.855475903,8.367276192,1095,873.5166615305516,0.5603809280689829,0.0856672624843347,-1.0473851081734828,0.8291987619890193,-2.8005936902220974,0.1607302834742119,6.503356551223365,0.4064597844514603,6,14,8.425,0.129,0.129
7114,23.63493313,0.996338069,o,0.085669309,334.0191475,UPK_545,371.53914879055424,8.006925106,7.745153427,8.317447662,597,92.08485059938197,0.573515749064675,0.0721094019594368,-0.2215965632642684,0.3711574299486622,-3.058846000250592,0.4721101618480866,2.5486315213933017,0.2316937746721183,6,9,8.137,0.089,0.089
7043,22.61366792,0.996943831,o,0.560677767,588.5248707,UPK_168,341.88741478393354,7.450774431,7.212518215,7.667392731,297,148.4092296713874,0.5805631361785254,0.1204763674388568,-0.2861070114289833,1.0838706043863071,-2.4692774935238604,0.276527364964623,2.76977979637533,0.3462224745469162,3,9,7.796,0.166,0.166
4378,29.11323714,0.996201366,o,0.144796371,452.7785212,LISC_3534,384.2717162192502,8.172439575,7.855512142,8.41065979,430,158.13943154617868,0.5845555481252693,0.1162129901710073,-0.7407887941976339,0.6527985152094639,-2.5113896309632797,0.3020770506737336,0.9629154428837704,0.1375593489833957,4,7,8.172439575,0.23822021500000012,0.31692743300000004
80,21.87208398,0.999140263,o,0.153509647,560.7547398,Alessi_21,452.6780542198501,7.899639845,7.640462399,8.134233475,279,158.52290679905656,0.5861552727067716,0.1034341264874349,-0.1933808434341459,1.1692686173290423,-2.4400040890779886,0.2585666820844041,2.5837546716450324,0.2870838524050036,4,9,7.944,0.162,0.162
4503,23.02875319,0.895485014,o,0.509616464,378.2819718,NGC_1980,633.5158514176089,6.841184616,6.633863926,6.993131638,364,141.8421548495053,0.5933830888724551,0.0563731450356082,0.0910617467896363,0.3583841494805235,-3.0123282358978742,0.3060676975048413,12.970147438748114,0.7205637465971174,8,14,6.97,0.049,0.049
136,24.02046843,0.96876511,o,0.666753411,879.9469945,BH_56,537.2317467498714,6.878802061,6.673322201,7.022340775,302,124.39263232699412,0.5974901321198984,0.0777516394402269,-0.2173155416761232,0.6222142371815053,-2.5812819498697044,0.2652456971945182,5.569795608232773,0.4284458160179056,5,12,7.156,0.076,0.076
6043,30.52651841,0.99412626,o,0.864967555,674.6518448,Trumpler_2,932.5247597244272,7.95477128,7.733119488,8.175943375,453,175.43661372148006,0.597996752469929,0.0490810411648091,0.9991500166409412,1.9782374476655864,-2.713891381576397,0.2086716733959183,7.968029238418236,0.7968029238418236,3,11,8.376,0.193,0.193
4301,37.54513367,0.993589818,o,0.359930843,466.7540534,IC_4756,1079.0607333618843,8.922665119,8.74415493,9.126649857,718,374.34448217740055,0.6028804169101323,0.1352777585292296,-0.3574076801225133,1.0688996110897555,-1.7579884277097124,0.2093723234167113,1.9135819559805256,0.2126202173311695,5,8,8.989,0.041,0.041
4591,99.0,0.99935329,o,0.096103668,747.0835211,NGC_2548,1530.6724544539795,8.57898283,8.375595093,8.827252388,778,471.99466125092295,0.6063266477834658,0.0940907974932504,-0.4779416583581183,1.6097553670188025,-2.2628519768757958,0.1819657846986077,1.3180642319083482,0.1318064231908348,4,10,8.717,0.027,0.027
4268,22.1284189,0.981926262,o,0.050460726,293.4604839,Herschel_1,265.2180404642494,8.248035431,8.009152412,8.606020927,222,92.03162791044154,0.6067378939975635,0.1109337913473374,-0.7006109533820608,0.4895706876495613,-3.041425355645657,0.5720293414714598,2.034290178584919,0.4068580357169837,4,5,8.248035431,0.3579854959999995,0.2388830189999993
1323,16.10956643,0.993797034,o,0.107396796,295.8666538,Collinder_135,249.66079402228115,7.474636316,7.224114895,7.730070591,209,75.47422713057793,0.60713570121552,0.145657739499366,-0.4357999506286442,0.323675417012209,-2.3009661246649755,0.4401766907746872,1.9599372494392335,0.3266562082398723,5,5,7.669,0.048,0.048
5216,27.27642407,0.997711331,o,0.070205525,350.0575104,Roslund_6,393.2205806052448,8.225153923,7.979995728,8.509386063,452,145.41316665022967,0.6135705172470104,0.1406450274642494,-0.9607889410919148,0.418355923510369,-2.481957086292637,0.3787613935666795,5.372582197691649,0.7675117425273784,5,6,8.413,0.075,0.075
4424,27.43793416,0.995365053,o,0.165234506,47.19065976,Melotte_25,663.8273618025432,8.761052608,8.549044609,8.995731354,927,130.20736919664824,0.6168183012988593,0.0884860344278448,-0.3623171359214144,0.1682518349936915,-2.282020308578017,0.2999734051852287,5.854846042161713,0.5854846042161712,8,6,8.922,0.064,0.064
5555,27.70507199,0.996686101,o,0.20594503,745.5845471,Theia_274,525.7387757523157,8.09691143,7.825147152,8.327158928,448,155.58251286460242,0.6228016249861295,0.0912850485191131,0.1616191612624927,1.7156261079746378,-2.445062863627569,0.2567449977088277,2.56628742026059,0.3207859275325737,3,9,8.09691143,0.23024749799999888,0.271764278
5176,27.76427689,0.996033549,o,0.130930066,680.7026557,Pismis_4,382.4374571592117,8.066166401,7.834452629,8.353805542,435,130.83285038598342,0.6303472098486279,0.1284142305250719,-0.7011701901432077,0.9455150425439374,-2.4674363779238586,0.3678287419659665,1.576635129742295,0.225233589963185,4,7,8.094,0.146,0.146
59,32.27412782,0.998816311,o,0.108024314,557.418698,ASCC_113,633.3784343016357,8.264825344,7.997469902,8.48623085,491,195.01062435521396,0.6332205241387097,0.1042854354888935,-0.7037962107402362,0.7514492708220798,-2.3716496043729123,0.2234182036561676,3.374928686904663,0.4218660858630829,4,8,8.455,0.226,0.226
4484,26.28708397,0.996182501,o,0.927895993,404.599015,NGC_1662,562.9257934689088,8.538435459,8.337567329,8.76941967,384,243.54878493733585,0.6347493486776982,0.1224002604718229,-0.3923046306264073,1.2864507827580058,-2.4812898277351145,0.249239659316109,2.675668507083177,0.3344585633853971,3,9,8.771,0.142,0.142
4658,22.60960966,0.996263504,o,0.183473721,711.4857643,NGC_5460,460.3911995365792,8.183610916,7.964643955,8.420054436,267,192.7831651333139,0.6348448860195431,0.124390640987829,0.4776193590452382,2.2585357465701605,-2.2753848446990226,0.2307515474231726,2.920242935697172,0.3650303669621464,3,9,8.181,0.117,0.117
5301,25.85996089,0.990821779,o,0.569390118,590.877303,Ruprecht_145,617.8601218447134,8.754349232,8.554862022,8.93061161,384,140.21823266260512,0.6361811259402709,0.0741534286953743,1.1830431465582818,2.299243735273263,-2.124829405129029,0.2550548172766131,4.645166405363998,0.7741944008939997,3,7,8.969,0.017,0.017
4694,19.00901118,0.993161649,o,0.786038935,878.3227606,NGC_6178,426.511067548973,6.894150734,6.699933529,7.04943037,211,106.94674620814264,0.6402687813576454,0.0729341463849355,1.5367243320910962,2.306955310014443,-2.489385073729911,0.2837586776646026,2.780512414595205,0.3475640518244006,3,9,7.098,0.201,0.201
4478,24.07401838,0.990916878,o,0.987116933,696.2880104,NGC_1545,622.8566493910834,7.99637723,7.738601208,8.208293915,250,318.80707976434365,0.6423738274155111,0.1130537900531539,2.0471998014346235,4.104139969884599,-2.935470149831388,0.2610095151975781,5.014154529910622,0.4178462108258851,3,13,8.318,0.229,0.229
4537,99.0,0.999456346,o,0.085777581,715.0568055,NGC_2287,1876.6209522845395,8.188724041,7.986250401,8.454359055,948,322.6682213527709,0.6425563094365161,0.0489310352422184,0.2570397989899458,0.7805406947662876,-2.549039545543828,0.1275641483498389,10.771391293550815,0.7693850923964869,4,14,8.48,0.094,0.094
25,19.43184966,0.996866465,o,0.127982423,471.4380967,ASCC_58,284.4943002565813,7.755970955,7.48116684,8.021576881,236,95.39263521592886,0.6457720639822137,0.1077407008752459,-0.4246909481403798,0.6155431869402863,-2.6457703572727143,0.3169895095812353,2.698373344259907,0.3372966680324883,4,8,7.775,0.09,0.09
6155,21.57501478,0.892139435,o,0.424844086,487.0161553,UBC_159,273.9804973231808,6.682375193,6.498359203,6.80163765,232,72.67810516292289,0.656251268811582,0.0980254815392696,-0.275328580168432,0.3189240367961246,-2.874844129644879,0.4191757460502731,5.013529635799952,0.4557754214363593,6,9,6.682375193,0.1192624569999996,0.18401599000000068
